lon,lat,n,geo,type
34.6833,9.6691,108,75,0
34.7321,9.7522,895,75,0
34.7577,9.7455,1452,75,0
34.7225,9.7482,9414,75,0
34.9954,10.1321,1643,75,0
34.7329,9.7649,2206,75,0
35.0983,10.3074,1366,75,0
39.725,4.961,1363,75,0
34.7305,9.7605,201,75,0
34.7247,9.7471,219,75,0
34.7016,9.6808,226,75,0
35.1344,10.1298,116,75,0
34.7543,9.7419,887,75,0
35.0861,10.3436,982,75,0
35.087,10.2143,247,75,0
35.2134,10.0181,90,75,0
34.6114,10.002,92,75,0
38.2744,14.0922,2249,75,0
38.2804,14.114,2718,75,0
38.2855,14.1051,14929,75,0
38.2635589,13.8936972,283,75,0
37.8783,14.1244,6461,75,0
38.2802,14.0936,6473,75,0
38.0621,14.4346,104,75,0
37.9,14.138,2303,75,0
38.3027,14.1067,6883,75,0
38.287,14.0981,6027,75,0
38.2886,14.0986,3761,75,0
38.1828,13.9395,277,75,0
38.1834,13.9422,2776,75,0
38.1803,13.9402,3530,75,0
38.1387,14.1083,116,75,0
37.8573,14.1095,124,75,0
37.7626,14.0711,5663,75,0
38.1776,14.1412,136,75,0
38.2376,13.9563,657,75,0
37.9825,13.9575,266,75,0
37.9606,14.2072,588,75,0
38.1145,14.0191,85,75,0
38.4904,14.185,162,75,0
38.4759,14.1183,552,75,0
39.3944,5.5515,4811,75,0
38.4549,13.9536,1758,75,0
36.0811,10.6081,215,75,0
36.158,10.6738,293,75,0
37.7681,14.3904,118,75,0
36.2316,10.6725,169,75,0
36.2623,10.7774,429,75,0
38.1814,13.9459,2374,75,0
38.1969,13.9783,327,75,0
36.3943,11.2264,369,75,0
36.4127941,11.1122186,384,75,0
38.0954,14.1218,138,75,0
37.828,13.9958,5661,75,0
38.449,13.9953,913,75,0
39.3612,12.6596,164,75,0
39.5577,12.4152,1967,75,0
39.5984,12.4217,191,75,0
38.7596,13.7118,284,75,0
38.725,13.7009,199,75,0
39.6959,4.8513,1903,75,0
38.471,13.3559,276,75,0
39.637,12.5139,295,75,0
39.6814,12.4222,248,75,0
39.771,12.5321,145,75,0
39.3786,12.4624,134,75,0
39.7696,12.5436,46,75,0
39.4009495,12.4985761,130,75,0
39.349,12.5801,138,75,0
39.340226,12.6716145,97,75,0
39.5572,12.4212,1685,75,0
39.8047,12.446,153,75,0
39.5574,12.4177,1123,75,0
39.1728,14.4963,238,75,0
38.698,14.3879,408,75,0
38.7864,14.453,130,75,0
38.8082,14.3353,206,75,0
39.0305,14.0377,490,75,0
39.7438,12.4303,173,75,0
39.6754,12.4766,176,75,0
39.7711,12.5437,124,75,0
39.7674,12.6228,72,75,0
39.4530445,12.5980583,105,75,0
39.5592,12.4143,1299,75,0
39.556,12.4146,635,75,0
39.6083,12.4817,147,75,0
39.7021,12.5892,86,75,0
39.2856717,12.5080131,263,75,0
39.3869,12.4596,806,75,0
39.431229,12.4445828,87,75,0
39.4236,12.5578,89,75,0
39.4522215,12.5225984,133,75,0
37.8743,7.1241,99,75,0
37.8846,7.1369,94,75,0
37.8659,7.1489,161,75,0
38.0137,7.0997,158,75,0
37.9892,7.1212,150,75,0
38.044,7.1614,182,75,0
37.9758,7.1809,175,75,0
37.9434,7.1743,128,75,0
