geo,lat,lon,type,n
158,-17.573277,36.5743108,0,337
158,-17.5151566,36.8587634,0,140
158,-12.2345898,40.1556575,1,59052
158,-10.772734700000001,40.4587941,1,81764
158,-13.3757875,39.9387499,1,38442
158,-11.6680837,39.5634519,1,24227
158,-12.5248231,40.4218731,1,16342
158,-11.7594602,39.8034767,1,17812
158,-10.7745448,40.4671584,1,17753
158,-11.5374604,39.9343825,1,23054
158,-11.5108122,40.0324661,1,24644
158,-11.3521834,40.3655726,1,20282
158,-12.0689656964279,40.4780277905079,1,16681
158,-12.5656432,40.2825389,1,12972
158,-13.7183562,39.8263352,1,19715
158,-11.3473264,40.3498508,1,18126
158,-11.3727684,38.8203571,1,12047
158,-11.2304073,40.2754678,1,9990
158,-11.820965,39.8135557,1,11018
158,-11.7797031,39.9008924,1,9634
158,-11.3638058,40.3375974,1,14767
158,-12.9743791,39.8543742,1,13880
158,-11.2370019,39.4879152,1,10660
158,-11.3506471,40.3634736,1,10486
158,-12.4392511,40.4965341,1,7625
158,-13.7951269,40.2927977,1,13757
158,-10.5946671,40.5084192,1,7286
158,-11.357151,40.3440411,1,7582
158,-11.3875169,39.5606526,1,5588
158,-11.3603321,40.3619332,1,16775
158,-12.933471,39.9102311,1,11584
158,-12.3302643,40.1736405,1,5737
158,-11.3677534,40.3346919,1,8152
158,-11.3505514,40.3550529,1,9666
158,-11.2233033,39.6382518,1,6045
158,-11.3751033,40.3429866,1,6048
158,-11.3528257,40.3453398,1,5638
158,-11.3478907,40.3398633,1,6933
158,-10.9651966,40.3552418,1,4258
158,-11.5286738,39.7216683,1,3712
158,-10.7745088,40.4672449,1,4017
158,-10.6159954,40.5593087,1,3653
158,-11.3087676,39.3068589,1,3590
158,-11.342743,40.3566043,1,3764
158,-11.0161178,40.4690261,1,2103
158,-13.0321131,39.5524431,1,2080
158,-12.4867993,39.8448075,1,2553
158,-12.5108889,40.067353,1,2954
158,-12.5429079,39.6416548,1,1992
158,-11.7295351,39.8934965,1,1304
158,-12.455455,40.0273367,1,1591
158,-11.3771222,40.3551503,1,5419
158,-11.3397449,40.3553046,1,2237
158,-10.7745224,40.4673535,1,835
158,-12.1805636,37.673908,1,1064
158,-12.5432785,39.6417726,1,1321
158,-11.7006674,39.4292882,1,1477
158,-11.3775133,40.3002358,1,2122
158,-17.5789092,35.0747095,1,1187
158,-11.6431213,39.5579306,1,941
158,-12.5446041,39.6419774,1,1510
158,-12.0057717,37.7673936,1,1344
158,-11.3237705,40.3110446,1,2187
158,-11.5803342,39.7246395,1,908
158,-11.7581358,38.05921,1,661
158,-11.8250634,39.4156226,1,881
158,-17.6937737,34.5746678,1,492
158,-11.7921964,38.0303712,1,525
158,-11.4047053,39.438619,1,231
158,-12.1887382,37.6771046,1,319
158,-20.0702606,33.2637109,1,249
158,-18.1116849,34.4527488,1,257
158,-11.8325051,37.9077589,1,55
158,-17.4240442,34.7464644,1,36
170,9.263147,11.901162,0,552
170,10.96916,13.6659,0,4320
170,10.96916,13.6659,1,4284
170,9.26549,11.899502,0,252
170,9.556226,12.253704,0,480
170,9.535633,12.175444,0,2226
170,9.536868,12.180862,0,2418
170,9.56044,12.18448,0,426
170,9.538987,12.178646,1,1308
170,9.456486,12.154671,0,348
170,9.42646,12.13402,1,774
170,9.45753,12.22877,1,2190
170,9.457918,12.229334,0,510
170,9.39895,12.3643,0,660
170,9.459728,12.177998,0,762
170,9.534999,12.161227,0,444
170,9.50061,12.10531,0,420
170,9.40498,11.93362,0,3174
170,9.40353,11.91831,1,4764
170,9.385248,11.938075,0,918
170,9.4528,12.06758,0,294
170,9.45328,12.06498,0,312
170,9.60258,12.19187,0,1830
170,9.60257,12.19183,0,1266
170,9.61466,12.19273,1,1224
170,9.30257,11.76324,0,1242
170,9.30061,11.76293,1,834
170,9.30066,11.76239,0,960
170,9.51105,12.1929,0,348
170,9.51182,12.20143,0,378
170,9.43301,12.13055,0,360
170,9.45024,12.04767,0,390
170,9.04767,12.45024,1,858
170,9.06542,12.66419,0,113
170,9.07023,12.66263,0,35
170,9.15618,12.59884,0,187
170,9.57651,12.9007,0,38
170,9.58291,12.91652,0,32
170,9.57978,12.91659,0,11
170,9.5527,12.78224,0,35
170,9.21765,12.6543,0,556
170,9.21804,12.64191,0,93
170,9.20771,12.67751,0,1068
170,9.09661,12.87983,0,101
170,9.11495,12.8832,0,31
170,9.10845,12.88559,0,105
170,9.11392,12.86973,0,51
170,9.11014,12.88028,0,43
170,9.14598,12.35287,0,594
170,9.37723,12.702819999999999,0,203
170,9.41825,12.59718,0,3175
170,9.4212,12.5971,0,603
170,9.29598,12.79633,0,538
170,9.29717,12.71503,0,39
170,9.30652,12.72032,0,59
170,8.267427,12.068349,0,76
170,8.4316,12.053114,0,61
170,8.457648,12.039876,0,70
170,8.445773,12.045286,0,73
170,8.451662,12.051298,0,77
170,8.432025,12.063586,0,30
170,8.445899,12.059015,0,45
170,8.437966,12.051706,0,47
170,8.441018,12.058316,0,56
170,8.448803,12.058655,0,53
170,8.454662,12.058466,0,50
170,8.432826,12.048829,0,33
170,8.430631,12.046884,0,53
170,8.439187,12.038598,0,50
170,8.37048,12.067046,0,42
170,9.33472,12.45766,0,76
170,9.33412,12.4721,0,121
170,9.31808,12.47898,0,575
170,9.30316,12.46516,0,345
170,9.31853,12.45172,0,538
170,9.31599,12.44461,0,339
170,9.31334,12.46029,0,675
170,9.30584,12.47189,0,720
170,9.30613,12.4846,0,519
170,9.31974,12.44136,0,1025
170,9.48596,12.30687,0,400
170,9.45632,12.35625,0,800
170,9.48598,12.30689,1,4000
170,9.33938,12.50727,0,1200
170,9.33893,12.5085,0,519
170,9.34431,12.51341,0,600
170,9.34264,12.51707,0,580
170,9.35204,12.51312,0,275
170,9.35209,12.51223,0,220
170,9.37582,12.55931,0,250
170,9.37211,12.55222,0,500
170,9.36791,12.55256,0,480
170,9.505,12.491,0,120
170,9.50503,12.49995,0,75
170,9.53353,12.49816,0,122
170,9.53271,12.50146,0,331
170,9.30444,12.48875,0,979
170,9.29134,12.48012,0,244
170,9.29147,12.49431,0,1128
170,9.30552,12.48633,0,698
170,9.29912,12.48469,0,786
170,9.1855,12.2947,0,198
170,9.50011,12.56769,0,169
170,9.48339,12.58191,0,628
170,9.49888,12.576,0,457
170,9.30329,12.47378,0,500
170,10.101537,12.34784,0,101
170,10.12613,12.33882,0,157
170,10.13113,12.39603,0,127
170,10.15331,12.40217,1,944
170,10.16977,12.73464,1,2622
170,10.12192,12.33897,1,945
170,10.12193,12.33896,1,1902
170,10.13192,12.43897,1,1177
170,10.25422,12.52978,1,1035
170,10.2544,12.52977,1,1064
170,10.09707,12.33428,1,1844
170,10.0977,12.33432,1,896
170,10.06047,12.29185,1,901
170,10.14806,12.43441,0,91
170,10.16244,12.43303,0,92
170,10.18417,12.43641,0,95
170,10.14909,12.43047,1,1134
170,10.14919,12.43049,1,1243
170,10.16024,12.4337,1,1715
170,10.14795,12.43409,1,1181
170,10.14791,12.43447,1,2418
170,10.18238,12.37378,0,136
170,10.18342,12.36991,0,113
170,10.19051,12.36714,1,1503
170,10.242,12.3438,1,5009
170,10.18212,12.37362,1,3344
170,10.21623,12.34535,1,319
170,10.40689,12.5662,0,188
170,10.40403,12.56749,0,200
170,10.40501,12.56518,0,239
170,10.40317,12.56537,0,223
170,10.4066,12.56709,1,945
170,10.4051,12.56904,1,1319
170,10.40434,12.56907,1,2953
170,10.41503,12.86357,1,1444
170,10.40858,12.56519,1,1118
170,10.18372,12.734069999999999,0,223
170,10.18095,12.23264,0,361
170,10.17235,12.72687,0,360
170,10.17949,12.72231,0,375
170,10.17688,12.72371,1,1945
170,10.175840000000001,12.73539,1,1974
170,10.18032,12.73335,1,2988
170,10.17347,12.73519,1,3930
170,10.17345,12.735519,1,3416
170,10.14542,12.74552,0,259
170,10.160138,12.75218,0,164
170,10.14236,12.73524,0,397
170,10.15432,12.74168,1,1999
170,10.15435,12.7357,1,4071
170,10.15843,12.75042,1,902
170,10.15943,12.74672,1,1305
170,10.14472,12.74648,1,1059
